Draw Number,Value
1,51.60
2,37.69
3,21.07
4,88.02
5,82.17
6,46.16
7,25.03
8,70.60
9,54.30
10,47.80
11,43.14
12,37.11
13,32.70
14,55.38
15,50.01
16,65.71
17,63.80
18,43.91
19,84.34
20,31.58
21,59.92
22,60.56
23,60.01
24,41.08
25,22.78
26,32.43
27,36.65
28,69.15
29,58.08
30,48.12
31,43.27
32,91.24
33,75.68
34,51.53
35,56.27
36,55.47
37,56.22
38,44.73
39,48.07
40,53.19
41,54.58
42,33.27
43,57.10
44,56.24
45,57.90
46,61.03
47,32.30
48,58.18
49,58.57
50,50.50
51,51.60
52,61.79
53,33.67
54,41.86
55,34.11
56,56.99
57,21.58
58,57.36
59,49.07
60,37.71
61,25.69
62,27.59
63,26.89
64,23.94
65,51.43
66,50.74
67,17.51
68,71.66
69,30.20
70,63.32
71,46.94
72,14.65
73,73.21
74,25.03
75,56.78
76,68.90
77,52.96
78,51.16
79,42.36
80,58.12
81,41.29
82,28.88
83,77.30
84,51.53
85,56.58
86,52.46
87,69.42
88,31.02
89,48.73
90,42.76
91,49.69
92,58.30
93,24.54
94,46.51
95,62.93
96,41.70
97,54.03
98,50.53
99,42.88
100,56.84
101,27.21
102,57.17
103,45.96
104,50.57
105,45.00
106,25.43
107,39.37
108,43.05
109,42.60
110,23.28
111,64.20
112,56.51
113,68.72
114,41.29
115,28.82
116,51.78
117,44.86
118,31.65
119,61.28
120,37.36
121,54.46
122,40.48
123,44.60
124,12.75
125,39.90
126,50.86
127,57.75
128,46.29
129,78.55
130,43.25
131,42.58
132,28.19
133,17.84
134,64.59
135,26.37
136,81.24
137,59.99
138,26.02
139,24.10
140,68.49
141,57.23
142,65.97
143,54.06
144,56.78
145,50.53
146,52.36
147,55.41
148,43.94
149,43.48
150,42.70
151,80.22
152,69.72
153,78.95
154,55.51
155,53.60
156,69.78
157,45.00
158,52.28
159,58.13
160,56.09
161,51.42
162,70.31
163,31.44
164,51.07
165,47.25
166,55.50
167,81.37
168,32.33
169,39.57
170,34.84
171,59.98
172,72.69
173,15.77
174,40.75
175,47.55
176,50.27
177,30.05
178,34.02
179,67.34
180,29.44
181,60.80
182,28.79
183,62.17
184,66.67
185,36.13
186,45.20
187,46.74
188,31.63
189,58.02
190,41.25
191,48.40
192,33.58
193,60.90
194,54.36
195,84.75
196,25.81
197,61.53
198,44.78
199,54.30
200,37.01
201,52.97
202,38.00
203,61.50
204,46.62
205,42.97
206,61.43
207,59.98
208,41.78
209,28.52
210,64.69
211,58.46
212,52.96
213,44.15
214,42.57
215,54.63
216,50.33
217,44.32
218,46.12
219,46.07
220,37.89
221,47.29
222,24.27
223,55.00
224,56.15
225,23.40
226,95.58
227,65.19
228,39.36
229,55.93
230,52.01
231,50.43
232,26.20
233,76.67
234,53.92
235,28.44
236,36.36
237,66.24
238,33.85
239,68.05
240,56.49
241,25.76
242,28.66
243,77.90
244,62.67
245,52.70
246,68.78
247,46.94
248,34.79
249,61.41
250,68.34
251,47.45
252,49.46
253,69.12
254,44.71
255,48.65
256,55.38
257,73.39
258,93.40
259,74.17
260,41.76
261,19.08
262,57.62
263,40.90
264,88.95
265,72.02
266,61.49
267,38.40
268,58.70
269,47.05
270,52.07
271,65.37
272,57.30
273,20.19
274,31.53
275,52.60
276,58.43
277,42.66
278,37.39
279,49.44
280,51.46
281,18.03
282,56.68
283,45.52
284,56.02
285,34.78
286,48.37
287,50.21
288,67.59
289,57.93
290,51.65
291,65.12
292,72.43
293,42.95
294,42.70
295,60.38
296,53.59
297,59.03
298,53.03
299,77.97
300,105.59
301,28.26
302,51.38
303,49.72
304,57.64
305,72.23
306,21.34
307,60.69
308,39.93
309,43.20
310,67.13
311,43.55
312,69.75
313,66.16
314,47.19
315,49.22
316,26.25
317,43.67
318,42.13
319,37.82
320,45.07
321,44.24
322,53.06
323,53.01
324,47.09
325,42.12
326,43.72
327,46.49
328,31.19
329,73.31
330,61.41
331,49.85
332,76.26
333,45.51
334,55.91
335,27.58
336,35.10
337,61.03
338,36.33
339,77.59
340,35.08
341,49.33
342,38.29
343,46.54
344,47.44
345,45.62
346,40.49
347,39.76
348,39.37
349,56.35
350,46.18
351,59.09
352,19.31
353,43.36
354,49.62
355,45.05
356,29.86
357,35.40
358,62.71
359,36.85
360,74.66
361,60.29
362,62.19
363,31.89
364,51.40
365,48.31
366,65.10
367,18.62
368,28.28
369,60.99
370,21.14
371,71.87
372,49.82
373,51.10
374,13.45
375,49.99
376,61.50
377,78.02
378,44.95
379,85.14
380,31.95
381,54.41
382,82.33
383,44.06
384,51.60
385,48.60
386,45.06
387,48.97
388,33.69
389,34.77
390,31.76
391,59.46
392,48.38
393,39.01
394,42.15
395,50.27
396,37.35
397,36.10
398,56.83
399,66.45
400,34.92
401,53.69
402,45.14
403,43.05
404,40.09
405,49.99
406,30.97
407,60.27
408,59.80
409,51.05
410,39.74
411,37.20
412,47.04
413,48.94
414,22.11
415,36.25
416,30.76
417,26.18
418,92.24
419,49.52
420,58.27
421,58.54
422,52.96
423,70.76
424,81.70
425,36.56
426,47.82
427,59.92
428,23.17
429,38.56
430,60.43
431,30.52
432,51.16
433,42.51
434,47.05
435,34.14
436,44.51
437,62.12
438,46.02
439,43.81
440,26.66
441,84.80
442,48.00
443,55.74
444,53.10
445,41.45
446,63.88
447,57.15
448,63.07
449,66.45
450,30.16
451,81.57
452,30.58
453,46.35
454,35.70
455,51.49
456,69.46
457,47.26
458,57.64
459,48.84
460,48.62
461,50.85
462,53.30
463,63.08
464,62.20
465,31.78
466,26.94
467,41.94
468,33.90
469,33.65
470,62.10
471,64.73
472,44.34
473,28.14
474,42.80
475,54.44
476,68.92
477,67.15
478,44.50
479,45.59
480,47.51
481,30.24
482,30.31
483,36.36
484,53.18
485,62.90
486,69.28
487,52.24
488,42.29
489,53.87
490,53.87
491,31.58
492,48.76
493,62.53
494,52.90
495,60.86
496,31.93
497,64.83
498,64.58
499,53.57
500,54.29
501,39.34
502,49.18
503,82.40
504,71.17
505,65.31
506,53.51
507,42.47
508,37.11
509,77.48
510,53.00
511,53.71
512,65.02
513,65.90
514,77.65
515,57.15
516,48.83
517,26.30
518,58.07
519,57.37
520,57.63
521,58.95
522,65.31
523,50.56
524,38.27
525,43.80
526,45.84
527,63.90
528,33.04
529,45.50
530,31.15
531,42.68
532,41.77
533,42.42
534,45.49
535,58.72
536,41.41
537,58.06
538,82.72
539,38.81
540,57.12
541,42.67
542,39.43
543,36.15
544,47.93
545,90.11
546,43.44
547,60.19
548,36.69
549,24.20
550,43.22
551,54.35
552,46.79
553,52.75
554,53.23
555,69.74
556,39.27
557,50.09
558,52.42
559,49.99
560,50.33
561,43.56
562,46.75
563,42.21
564,45.67
565,67.25
566,33.28
567,40.99
568,56.31
569,44.40
570,41.45
571,60.82
572,37.45
573,50.41
574,42.59
575,57.26
576,41.94
577,50.31
578,55.13
579,32.64
580,44.96
581,42.84
582,64.62
583,21.15
584,43.97
585,53.03
586,54.21
587,46.12
588,31.70
589,41.53
590,43.68
591,67.49
592,40.63
593,64.64
594,44.33
595,45.20
596,64.16
597,44.07
598,56.40
599,20.74
600,37.27
601,29.14
602,70.00
603,46.41
604,36.54
605,67.14
606,44.06
607,61.98
608,84.01
609,49.52
610,53.53
611,23.38
612,47.27
613,71.67
614,45.24
615,49.57
616,37.60
617,73.34
618,52.27
619,19.08
620,33.45
621,43.41
622,41.93
623,41.59
624,77.19
625,46.28
626,57.27
627,77.10
628,44.61
629,6.50
630,56.11
631,33.26
632,43.42
633,65.81
634,69.46
635,71.22
636,57.97
637,56.07
638,36.57
639,52.76
640,31.04
641,37.21
642,42.13
643,30.22
644,50.42
645,52.42
646,52.88
647,27.02
648,38.78
649,49.05
650,23.17
651,42.26
652,64.12
653,64.45
654,35.21
655,65.74
656,60.71
657,44.44
658,75.51
659,73.18
660,63.16
661,53.28
662,35.70
663,50.07
664,33.27
665,36.26
666,56.57
667,72.34
668,41.92
669,44.46
670,52.76
671,58.87
672,66.88
673,44.60
674,37.68
675,53.55
676,40.52
677,57.27
678,47.51
679,50.86
680,54.09
681,44.11
682,47.79
683,66.27
684,59.58
685,42.71
686,51.61
687,41.81
688,54.82
689,43.51
690,54.84
691,48.16
692,43.35
693,51.56
694,45.99
695,69.76
696,31.70
697,41.21
698,43.64
699,68.99
700,39.27
701,69.46
702,58.47
703,37.93
704,51.03
705,47.16
706,47.55
707,57.47
708,63.04
709,52.07
710,60.41
711,62.46
712,55.80
713,31.23
714,59.41
715,32.62
716,39.88
717,42.53
718,46.47
719,55.94
720,33.03
721,49.08
722,46.91
723,49.44
724,21.19
725,26.34
726,73.82
727,58.19
728,39.16
729,59.28
730,61.44
731,42.97
732,51.04
733,45.21
734,60.92
735,31.14
736,37.73
737,35.51
738,65.39
739,55.99
740,71.61
741,37.95
742,34.35
743,58.58
744,34.88
745,42.62
746,54.92
747,82.00
748,60.09
749,67.31
750,52.06
751,40.41
752,20.63
753,46.23
754,54.02
755,50.24
756,48.05
757,67.54
758,51.82
759,65.98
760,63.70
761,54.42
762,55.62
763,49.41
764,38.87
765,53.22
766,45.85
767,51.23
768,82.12
769,33.61
770,47.63
771,57.03
772,34.92
773,56.14
774,58.48
775,53.91
776,55.14
777,56.79
778,29.81
779,49.28
780,48.54
781,58.89
782,41.32
783,55.95
784,51.44
785,45.32
786,29.57
787,52.00
788,72.20
789,61.07
790,35.97
791,27.68
792,45.05
793,59.21
794,21.59
795,46.45
796,62.00
797,51.72
798,42.09
799,46.37
800,45.97
801,57.67
802,39.28
803,69.27
804,67.30
805,59.38
806,78.35
807,37.73
808,51.77
809,41.51
810,54.16
811,57.39
812,55.59
813,61.33
814,36.16
815,43.43
816,42.87
817,53.35
818,38.08
819,54.86
820,60.06
821,44.60
822,37.44
823,50.88
824,79.15
825,56.25
826,49.15
827,67.73
828,49.27
829,29.82
830,41.22
831,45.84
832,54.42
833,42.25
834,63.48
835,57.71
836,45.02
837,58.64
838,35.68
839,49.24
840,24.11
841,35.59
842,46.90
843,53.98
844,55.13
845,49.28
846,15.29
847,48.24
848,25.93
849,81.18
850,48.79
851,70.48
852,70.13
853,27.82
854,59.61
855,77.29
856,49.89
857,47.99
858,19.16
859,37.74
860,42.57
861,45.33
862,39.95
863,55.82
864,75.83
865,50.12
866,39.55
867,94.28
868,55.64
869,75.84
870,37.87
871,57.09
872,67.15
873,40.93
874,54.11
875,49.91
876,57.28
877,22.06
878,53.42
879,32.74
880,26.02
881,29.50
882,48.08
883,65.87
884,59.74
885,41.47
886,56.37
887,78.78
888,39.28
889,21.61
890,39.62
891,56.10
892,24.77
893,66.32
894,65.47
895,32.80
896,64.25
897,30.79
898,38.21
899,38.67
900,43.44
901,54.44
902,51.36
903,70.81
904,60.91
905,36.21
906,49.26
907,54.21
908,61.57
909,62.21
910,-3.51
911,55.72
912,55.63
913,46.37
914,43.13
915,39.86
916,69.23
917,54.39
918,47.08
919,33.99
920,53.89
921,57.93
922,37.83
923,55.90
924,64.46
925,50.90
926,57.08
927,71.11
928,67.94
929,43.34
930,36.90
931,21.78
932,71.21
933,62.52
934,54.60
935,60.16
936,52.29
937,57.24
938,56.64
939,55.52
940,46.97
941,59.08
942,55.11
943,36.87
944,56.27
945,64.91
946,44.47
947,61.30
948,45.75
949,33.39
950,53.17
951,55.32
952,59.46
953,74.44
954,48.09
955,60.51
956,51.71
957,68.03
958,42.98
959,57.14
960,47.56
961,39.03
962,51.01
963,26.92
964,43.72
965,55.77
966,50.02
967,22.86
968,66.79
969,87.78
970,77.71
971,38.02
972,42.10
973,50.94
974,58.56
975,64.06
976,68.28
977,41.66
978,72.74
979,86.02
980,74.06
981,55.09
982,49.77
983,61.88
984,26.95
985,86.21
986,52.35
987,52.69
988,50.26
989,44.91
990,25.52
991,56.59
992,32.54
993,57.14
994,21.69
995,38.84
996,39.52
997,51.13
998,49.14
999,60.43
1000,59.05

Mean,49.91
Standard Deviation,14.71
